"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/19/2020","AQS","390030009","1","0.042","ppm","39","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/20/2020","AQS","390030009","1","0.048","ppm","44","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/21/2020","AQS","390030009","1","0.044","ppm","41","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/22/2020","AQS","390030009","1","0.041","ppm","38","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/23/2020","AQS","390030009","1","0.039","ppm","36","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/24/2020","AQS","390030009","1","0.04","ppm","37","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/25/2020","AQS","390030009","1","0.045","ppm","42","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/26/2020","AQS","390030009","1","0.044","ppm","41","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/27/2020","AQS","390030009","1","0.048","ppm","44","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/28/2020","AQS","390030009","1","0.049","ppm","45","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/29/2020","AQS","390030009","1","0.046","ppm","43","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/30/2020","AQS","390030009","1","0.033","ppm","31","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/01/2020","AQS","390030009","1","0.048","ppm","44","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/02/2020","AQS","390030009","1","0.058","ppm","61","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/03/2020","AQS","390030009","1","0.052","ppm","48","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/04/2020","AQS","390030009","1","0.035","ppm","32","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
