"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/06/2020","AQS","390130006","1","16","ppb","15","Shadyside","21","88.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/07/2020","AQS","390130006","1","8","ppb","8","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/08/2020","AQS","390130006","1","7","ppb","7","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/09/2020","AQS","390130006","1","13","ppb","12","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/10/2020","AQS","390130006","1","22","ppb","21","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/11/2020","AQS","390130006","1","15","ppb","14","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/12/2020","AQS","390130006","1","17","ppb","16","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/13/2020","AQS","390130006","1","12","ppb","11","Shadyside","20","83.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/14/2020","AQS","390130006","1","12","ppb","11","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/15/2020","AQS","390130006","1","16","ppb","15","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/16/2020","AQS","390130006","1","20","ppb","19","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/17/2020","AQS","390130006","1","26","ppb","25","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"02/18/2020","AQS","390130006","1","17","ppb","16","Shadyside","23","96.0000","42602","Nitrogen dioxide (NO2)","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
