"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/05/2020","AQS","390350051","1","0.5","ppm","6","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"04/06/2020","AQS","390350051","1","0.7","ppm","8","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"04/07/2020","AQS","390350051","1","0.8","ppm","9","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"04/08/2020","AQS","390350051","1","0.6","ppm","7","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"04/09/2020","AQS","390350051","1","0.6","ppm","7","Galleria","20","83.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/20/2020","AQS","390350051","1","0.8","ppm","9","Galleria","22","92.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/21/2020","AQS","390350051","1","0.9","ppm","10","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/22/2020","AQS","390350051","1","1","ppm","11","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/23/2020","AQS","390350051","1","1","ppm","11","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/24/2020","AQS","390350051","1","1.1","ppm","13","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/25/2020","AQS","390350051","1","1.3","ppm","15","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/26/2020","AQS","390350051","1","1.5","ppm","17","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/27/2020","AQS","390350051","1","0.9","ppm","10","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/28/2020","AQS","390350051","1","0.8","ppm","9","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/29/2020","AQS","390350051","1","0.8","ppm","9","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/30/2020","AQS","390350051","1","0.7","ppm","8","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/31/2020","AQS","390350051","1","0.7","ppm","8","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"06/01/2020","AQS","390350051","1","0.9","ppm","10","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"06/02/2020","AQS","390350051","1","1","ppm","11","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
